2020 US Presidential Nationwide,Biden,Trump,Other
44136,50,44,6
44136,52,42,6
44135,50,44,6
44135,50,44,6
44134,52,44,4
44134,54,43,3
44134,49,46,5
44134,51,44,5
44134,54,43,3
44133,49,45,6
44133,53,44,3
44133,52,43,5
44133,48,47,5
44133,52,44,4
44133,50,45,5
44132,52,42,6
44132,51,41,8
44132,54,42,4
44132,47,48,5
44132,48,46,6
44132,51,43,6
44132,50,45,5
44132,54,43,3
44131,50,45,5
44131,51,40,9
44131,49,47,4
44131,50,46,4
44130,51,44,5
44130,54,42,4
44130,52,43,5
44130,47,48,5
44130,52,45,3
44129,51,45,4
44128,51,45,4
44127,51,44,5
44127,50,46,4
44127,53,43,4
44126,51,41,8
44126,52,43,5
44126,50,46,4
44125,51,42,7
44125,46,42,12
44125,49,46,5
44125,50,42,8
44125,53,43,4
44125,49,47,4
44125,52,43,5
44124,52,42,6
44124,51,40,9
44124,49,46,5
44124,50,41,9
44123,51,40,9
44123,51,43,6
44123,52,43,5
44123,50,44,6
44122,50,44,6
44121,50,43,7
44120,51,41,8
44120,49,43,8
44120,53,43,4
44119,54,43,3
44119,52,43,5
44119,53,43,4
44119,50,42,8
44119,53,42,5
44118,50,45,5
44118,51,41,8
44118,47,40,13
44118,49,41,10
44118,50,43,7
44118,52,42,6
44117,51,42,7
44117,51,43,6
44116,51,43,6
44116,51,43,6
44116,52,44,4
44115,54,42,4
44113,45,40,15
44113,52,44,4
44113,52,42,6
44112,52,43,5
44111,53,43,4
44111,52,38,10
44111,52,40,8
44111,52,42,6
44111,51,42,7
44110,51,37,12
44110,52,40,8
44110,50,42,8
44110,57,41,2
44109,53,43,4
44109,51,43,6
44109,52,43,5
44108,51,43,6
44108,53,39,8
44108,51,41,8
44106,47,40,13
44106,49,46,5
44106,53,43,4
44105,50,41,9
44105,54,41,5
44104,51,42,7
44104,50,42,8
44104,51,43,6
44103,53,42,5
44103,50,40,10
44103,51,45,4
44103,51,44,5
44102,50,44,6
44102,51,43,6
44101,49,41,10
44101,54,44,2
44099,50,42,8
44099,50,41,9
44098,48,44,8
44098,45,40,15
44098,45,40,15
44098,53,42,5
44097,48,47,5
44097,52,42,6
44097,50,40,10
44097,44,38,18
44097,51,42,7
44095,50,44,6
44095,50,44,6
44094,51,43,6
44093,49,41,10
44092,51,42,7
44092,52,43,5
44092,53,42,5
44090,46,47,7
44090,50,41,9
44089,45,39,16
44089,50,41,9
44088,48,43,9
44087,51,46,3
44085,49,39,12
44084,51,42,7
44083,52,40,8
44083,49,40,11
44083,47,39,14
44083,49,43,8
44083,48,46,6
44083,49,42,9
44083,49,41,10
44080,52,42,6
44078,52,43,5
44076,51,40,9
44076,51,43,6
44076,46,40,14
44076,52,42,6
44076,49,41,10
44076,49,45,6
44076,50,43,7
44076,49,41,10
44075,49,41,10
44075,51,43,6
44074,49,47,4
44074,48,44,8
44072,47,41,12
44072,50,44,6
44071,49,39,12
44071,54,41,5
44069,47,40,13
44069,47,40,13
44069,47,38,15
44069,46,45,9
44069,50,41,9
44069,51,43,6
44067,52,42,6
44066,52,42,6
44065,49,39,12
44065,52,43,5
44063,53,39,8
44063,49,39,12
44062,48,40,12
44062,48,44,8
44062,50,40,10
44061,45,39,16
44060,53,41,6
44060,51,43,6
44060,48,41,11
44060,49,38,13
44060,53,41,6
44059,52,42,6
44059,50,46,4
44059,52,42,6
44059,50,41,9
44057,52,42,6
44057,53,42,5
44056,49,42,9
44056,53,45,2
44055,44,40,16
44055,49,38,13
44055,49,43,8
44055,49,39,12
44055,49,40,11
44055,50,44,6
44054,51,43,6
44054,51,41,8
44053,53,40,7
44053,45,37,18
44050,48,38,14
44048,43,40,17
44048,48,45,7
44048,49,40,11
44048,48,38,14
44047,51,42,7
44046,48,41,11
44043,50,46,4
44042,48,41,11
44041,48,42,10
44041,49,40,11
44041,51,42,7
44040,47,38,15
44040,51,43,6
44039,45,37,18
44039,47,38,15
44038,51,41,8
44036,53,38,9
44035,55,44,1
44034,45,38,17
44034,47,45,8
44034,48,41,11
44034,47,40,13
44034,46,38,16
44031,55,40,5
44031,49,41,10
44027,47,37,16
44027,51,40,9
44027,52,37,11
44027,47,39,14
44027,47,44,9
44027,49,40,11
44027,51,41,8
44027,47,39,14
44025,46,39,15
44025,48,40,12
44022,48,39,13
44020,43,39,18
44020,50,40,10
44020,43,37,20
44020,49,40,11
44020,49,40,11
44014,53,41,6
44013,55,41,4
44013,46,38,16
44013,48,40,12
44013,49,40,11
44013,47,40,13
44013,49,41,10
44012,53,41,6
44012,54,44,2
44011,47,39,14
44008,43,39,18
44008,47,39,14
44008,52,44,4
44008,51,38,11
44007,47,38,15
44006,47,37,16
44006,49,41,10
44006,50,36,14
44005,52,43,5
44000,50,38,12
44000,49,41,10
43999,50,41,9
43999,51,41,8
43997,48,39,13
43997,48,36,16
43993,50,37,13
43993,49,40,11
43992,46,38,16
43992,49,41,10
43990,47,37,16
43990,47,39,14
43990,47,37,16
43990,55,41,4
43989,49,42,9
43987,51,46,3
43987,50,43,7
43986,45,42,13
43985,47,43,10
43985,52,41,7
43985,47,40,13
43985,48,41,11
43984,46,39,15
43984,47,43,10
43983,51,39,10
43983,43,40,17
43982,48,40,12
43982,53,43,4
43978,45,39,16
43978,45,42,13
43978,46,41,13
43973,46,42,12
43972,48,40,12
43971,42,40,18
43971,46,41,13
43971,47,38,15
43971,50,39,11
43971,48,45,7
43971,47,42,11
43971,48,43,9
43969,43,39,18
43964,51,46,3
43964,47,43,10
43963,46,38,16
43962,45,42,13
43962,44,38,18
43958,45,42,13
43957,43,41,16
43957,50,41,9
43957,46,42,12
43957,47,44,9
43956,46,39,15
43955,45,41,14
43954,49,43,8
43952,43,43,14
43951,42,40,18
43950,45,39,16
43950,47,41,12
43949,46,38,16
43948,46,42,12
43948,50,40,10
43943,48,42,10
43943,48,44,8
43942,47,39,14
43941,49,40,11
43940,49,42,9
43939,54,46,0
43937,47,45,8
43937,50,40,10
43937,47,43,10
43936,48,43,9
43935,45,40,15
43934,50,43,7
43930,42,42,16
43930,49,40,11
43930,53,42,5
43930,48,44,8
43929,44,39,17
43929,49,41,10
43929,48,42,10
43928,46,42,12
43927,47,41,12
43922,45,40,15
43922,46,42,12
43922,47,43,10
43921,49,43,8
43921,46,42,12
43919,49,47,4
43917,46,40,14
43917,49,40,11
43915,46,42,12
43914,48,45,7
43914,47,42,11
43910,53,47,0
43908,48,41,11
43907,46,37,17
43907,48,42,10
43905,52,43,5
43901,45,41,14
43901,47,43,10
43900,39,39,22
43900,48,41,11
43899,52,41,7
43899,48,42,10
43899,53,43,4
43889,46,42,12
43888,49,41,10
43884,47,45,8
43880,48,45,7
43880,52,45,3
43880,45,43,12
43879,42,40,18
43879,48,52,0
43879,52,44,4
43879,50,44,6
43872,45,42,13
43871,44,42,14
43871,50,43,7
43864,46,42,12
43863,50,44,6
43861,49,40,11
43858,47,41,12
43857,50,46,4
43856,50,41,9
43853,50,50,0
43852,53,44,3
43852,46,41,13
43851,50,43,7
43844,46,41,13
43837,46,40,14
43819,49,44,7
43817,52,48,0
43816,41,44,15
43814,48,41,11
43809,51,42,7
43796,52,39,9
43790,49,51,0
43783,52,48,0
43774,56,39,5
43774,56,39,5
43772,50,41,9
43772,51,39,10
43761,53,43,4
43760,51,49,0
43760,52,41,7
43748,50,40,10
43746,51,40,9
43745,51,44,5
43733,43,47,10
43732,50,49,1
43726,52,38,10
43726,49,41,10
43723,50,41,9
43719,55,40,5
43705,54,38,8
43704,54,46,0
43692,50,38,12
43684,50,42,8
43683,49,41,10
43676,51,49,0
43671,49,39,12
43660,51,42,7
43655,53,47,0
43653,53,43,4
43651,48,44,8
43632,49,39,12
43627,53,40,7
43621,50,36,14
43609,47,46,7
43601,49,38,13
43598,54,46,0
43587,51,45,4
43581,43,37,20
43579,42,34,24
43570,53,47,0
43556,53,40,7
43553,49,44,7
43548,47,40,13
43544,51,46,3
43543,55,45,0
43497,52,45,3
43487,53,41,6
